name,type,notranslate,comment,value,en
"reportdesignerfo,tpopupmenu3,menu.submenu.items,1:,caption",vaString,F,,Show componentpalette
"reportdesignerfo,tpopupmenu3,menu.submenu.items,2:,caption",vaString,F,,Show as Text
"reportdesignerfo,tpopupmenu3,menu.submenu.items,9:,caption",vaString,F,,Copy Component(s)
"reportdesignerfo,tpopupmenu3,menu.submenu.items,10:,caption",vaString,F,,Cut Component(s)
"reportdesignerfo,tpopupmenu3,menu.submenu.items,11:,caption",vaString,F,,Paste Component(s)
"reportdesignerfo,tpopupmenu3,menu.submenu.items,12:,caption",vaString,F,,Delete Component(s)
"reportdesignerfo,tpopupmenu3,menu.submenu.items,13:,caption",vaString,F,,Undelete Component(s)
"reportdesignerfo,tpopupmenu3,menu.submenu.items,15:,caption",vaString,F,,Select Childwidget
"reportdesignerfo,tpopupmenu3,menu.submenu.items,16:,caption",vaString,F,,Edit Component
"reportdesignerfo,tpopupmenu3,menu.submenu.items,17:,caption",vaString,F,,Bring to Front
"reportdesignerfo,tpopupmenu3,menu.submenu.items,18:,caption",vaString,F,,Send to Back
"reportdesignerfo,tpopupmenu3,menu.submenu.items,19:,caption",vaString,F,,Iconify
"reportdesignerfo,tpopupmenu3,menu.submenu.items,20:,caption",vaString,F,,Deiconify
"reportdesignerfo,tpopupmenu3,menu.submenu.items,21:,caption",vaString,F,,Set Tab Order
"reportdesignerfo,tpopupmenu3,menu.submenu.items,22:,caption",vaString,F,,Set Creation Order
"reportdesignerfo,tpopupmenu3,menu.submenu.items,23:,caption",vaString,F,,Sync. to Font Height
"reportdesignerfo,tpopupmenu3,menu.submenu.items,24:,caption",vaString,F,,Revert to inherited
"reportdesignerfo,tpopupmenu3,menu.submenu.items,26:,caption",vaString,F,,Touch Form
"reportdesignerfo,tpopupmenu3,menu.submenu.items,27:,caption",vaString,F,,Add report page
"reportdesignerfo,tpopupmenu3,menu.submenu.items,28:,caption",vaString,F,,Delete report page
"reportdesignerfo,sc,strings.data,0:",vaString,F,,Do you wish to delete
"reportdesignerfo,sc,strings.data,1:",vaString,F,,WARNING
"replacedialogfo,caption",vaString,F,,Find and Replace Text
"replacedialogfo,findtext,frame.caption",vaString,F,,Text to &find
"replacedialogfo,replacetext,frame.caption",vaString,F,,&Replace with
"replacedialogfo,casesensitive,frame.caption",vaString,F,,&casesensitive
"replacedialogfo,wholeword,frame.caption",vaString,F,,&whole word
"replacedialogfo,tintegerbutton1,caption",vaString,F,,&Replace
"replacedialogfo,tintegerbutton2,caption",vaString,F,,Replace &all
"replacedialogfo,selectedonly,frame.caption",vaString,F,,select&ed only
"replacedialogfo,tintegerbutton3,caption",vaString,F,,&Cancel
"replacedialogfo,promptonreplace,frame.caption",vaString,F,,&prompt on rep.
"projecttreefo,caption",vaString,F,,Project Tree
"projecttreefo,addunitfileact,caption",vaString,F,,&Add Unit
"projecttreefo,removeunitfileact,caption",vaString,F,,&Remove Unit
"projecttreefo,addfileact,caption",vaString,F,,Add Text File
"projecttreefo,removefileact,caption",vaString,F,,Remove Text File
"projecttreefo,removecmoduleact,caption",vaString,F,,Remove C-File
"projecttreefo,addcmoduleact,caption",vaString,F,,Add C-File
"projecttreefo,cmoduledialog,controller.filterlist.data,0:,0:",vaString,F,,C-Source (*.c)
